name,slug,productCount
0-3 mesi,0-3-mesi,11
1 anno,1-anno,51
11-12 anni,11-12-anni,5
2 anni,2-anni,79
3-4 anni,3-4-anni,68
3-6 mesi,3-6-mesi,13
5-6 anni,5-6-anni,62
6-9 mesi,6-9-mesi,13
7-8 anni,7-8-anni,58
9-10 anni,9-10-anni,46
9-12 mesi,9-12-mesi,12
L,l,1
M,m,10
S,s,10
XL,xl,1
XS,xs,1
XXL,xxl,1
XXS,xxs,1
